"","date","id","deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","new_confirmed_nod","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"582",2020-04-18,"22745cb1",0,100,3,281482,2,"Sweden","Värmland",NA,100,3,3.17920623996811,6.86667800628478,4.67232121813477,1.11633073998406,1.76873597200178,1.44253335599292,-0.00702149299768763,0.128405617810208,0.0373895428551088,0.0839945819574117,0.0606920624062602,0.039482144537543,1.99999994276107,1.75672737539923,"Sweden","Värmland",NA,0
"583",2020-04-19,"22745cb1",0,104,4,281482,2,"Sweden","Värmland",NA,104,4,0.985679760272606,2.41311044904398,1.54225618135412,1.18118831675538,1.82526252004298,1.50322541839918,-0.00917027550917819,0.125617748504479,0.035031182613113,0.0814162903821874,0.0582237364976502,0.0452018059162531,1.99999994276107,1.69327249087326,"Sweden","Värmland",NA,0
"584",2020-04-20,"22745cb1",0,111,7,281482,2,"Sweden","Värmland",NA,111,7,2.5780171438698,5.65353773307631,3.81771098950477,1.243739914959,1.87915839483466,1.56144915489683,-0.0113508839873684,0.12306566705423,0.0327287558418056,0.0789860272250564,0.055857391533431,0.0516625025266925,1.99999994276107,1.62894338275346,"Sweden","Värmland",NA,0
"585",2020-04-21,"22745cb1",0,118,7,281482,2,"Sweden","Värmland",NA,118,7,4.58970610307581,9.62095849714234,6.64510134849524,1.30392912310985,1.93068396975067,1.61730654643026,-0.0119705243183697,0.122128915577077,0.0320051242612159,0.0781532669974919,0.0550791956293539,0.0536937341293007,1.99999994276107,1.61004758580852,"Sweden","Värmland",NA,0
"586",2020-04-22,"22745cb1",0,123,5,281482,2,"Sweden","Värmland",NA,123,5,5.35151380556959,11.0826461770225,7.70122938358407,1.36303836441757,1.98173311970165,1.67238574205961,-0.0108101825693545,0.122853172615432,0.0330224593876689,0.0790205306584089,0.0560214950230389,0.0501981751961345,1.99999994276107,1.64293515531538,"Sweden","Värmland",NA,0
"587",2020-04-23,"22745cb1",0,126,3,281482,2,"Sweden","Värmland",NA,126,3,5.56946882063015,11.480620517133,7.99630902427231,1.42258535656645,2.03422911759885,1.72840723708265,-0.00878230083974073,0.124277167468633,0.0348523066058807,0.0806425600230115,0.0577474333144461,0.0444491840333063,1.99999994276107,1.70123766365328,"Sweden","Värmland",NA,0
"588",2020-04-24,"22745cb1",0,130,4,281482,2,"Sweden","Värmland",NA,130,4,5.05498605614463,10.4328799225105,7.26209766759727,1.48333383164163,2.08897550915257,1.7861546703971,-0.00762096529259236,0.12473575538333,0.0357831879248166,0.0813316021659207,0.0585573950453687,0.0414361118158687,1.99999994276107,1.73425852093184,"Sweden","Värmland",NA,0
"589",2020-04-25,"22745cb1",0,135,5,281482,2,"Sweden","Värmland",NA,135,5,4.85733274930732,10.0460542225988,6.98548696776009,1.54452745146832,2.14489667941662,1.84471206544247,-0.00856853948413547,0.123140692783088,0.0346232808350715,0.0799488724638813,0.0572860766494764,0.0441021309424583,1.99999994276107,1.70494725564528,"Sweden","Värmland",NA,0
"590",2020-04-26,"22745cb1",0,137,2,281482,2,"Sweden","Värmland",NA,137,2,1.4961479323093,3.52945857752019,2.29795390574488,1.60433322094421,2.19966306323968,1.90199814209194,-0.0124570470268849,0.118878189866514,0.0306121278201073,0.0758090150195217,0.0532105714198145,0.0561248775248018,1.99999994276107,1.5881618070904,"Sweden","Värmland",NA,0
"591",2020-04-27,"22745cb1",0,145,8,281482,2,"Sweden","Värmland",NA,145,8,3.89385596203375,8.22699854969541,5.6599246772704,1.66018603899492,2.2502313880286,1.95520871351176,-0.0194513504615677,0.111791159803728,0.0235874162523657,0.0687523930897943,0.04616990467108,0.0839482238644615,1.99999994276107,1.37899450630812,"Sweden","Värmland",NA,0
